team,passer,recipient,start_x,start_y,end_x,end_y,weight
Germany,Kai Havertz,Toni Kroos,71.56153846153846,44.48461538461538,63.04615384615385,39.599999999999994,13
Germany,Kai Havertz,İlkay Gündoğan,72.82000000000001,56.160000000000004,76.08,52.120000000000005,5
Germany,Leroy Sané,Emre Can,91.8,61.650000000000006,90.9,61.7,2
Germany,Leroy Sané,Jamal Musiala,93.26666666666667,53.166666666666664,95.26666666666667,26.03333333333333,3
Germany,Leroy Sané,Jonathan Tah,86.5,60.9,77.9,51.9,1
Germany,Leroy Sané,Joshua Kimmich,90.2,68.5037037037037,83.94814814814815,69.2,27
Germany,Leroy Sané,Kai Havertz,59.199999999999996,55.0,69.3,56.2,2
Germany,Leroy Sané,Maximilian Mittelstädt,99.2,22.2,118.3,2.2,1
Germany,Leroy Sané,Pascal Groß,80.15,51.6,77.5,44.7,2
Germany,Leroy Sané,Robert Andrich,76.6,56.5,73.9,52.425,4
Germany,Leroy Sané,Thomas Müller,98.7,19.1,110.3,23.9,1
Germany,Leroy Sané,Toni Kroos,58.35555555555556,49.55555555555556,52.577777777777776,42.355555555555554,9
Germany,Leroy Sané,İlkay Gündoğan,87.63333333333333,60.166666666666664,87.7,52.96666666666667,6
Germany,Manuel Neuer,Antonio Rüdiger,14.3625,42.0375,19.94375,57.3,16
Germany,Manuel Neuer,David Raum,13.988888888888887,36.144444444444446,32.53333333333333,5.788888888888889,9
Germany,Manuel Neuer,Emre Can,21.9,46.0,41.2,55.2,1
Germany,Manuel Neuer,Florian Wirtz,9.375,39.875,45.975,54.175000000000004,4
Germany,Manuel Neuer,Jonathan Tah,15.373684210526317,40.23684210526316,21.57894736842105,27.026315789473685,19
Germany,Manuel Neuer,Joshua Kimmich,12.694117647058825,43.55294117647059,26.74705882352941,70.53529411764706,17
Germany,Manuel Neuer,Kai Havertz,3.9,53.6,55.8,62.6,1
Germany,Manuel Neuer,Maximilian Beier,19.8,43.4,71.9,47.2,1
Germany,Manuel Neuer,Maximilian Mittelstädt,28.475,40.325,47.1,14.95,4
Germany,Manuel Neuer,Niclas Füllkrug,19.05,44.7,64.9,38.6,2
Germany,Manuel Neuer,Nico Schlotterbeck,15.680000000000001,36.559999999999995,20.44,24.880000000000003,5
Germany,Manuel Neuer,Robert Andrich,12.5,38.85,21.025,34.675,4
Germany,Manuel Neuer,Toni Kroos,15.761538461538462,42.36923076923077,29.73846153846154,31.092307692307692,13
Germany,Manuel Neuer,Waldemar Anton,16.2,34.475,26.975,23.975,4
Germany,Maximilian Beier,David Raum,110.0,2.5,105.2,1.3,1
Germany,Maximilian Beier,Kai Havertz,82.0,38.349999999999994,80.65,46.65,2
Germany,Maximilian Beier,Niclas Füllkrug,100.7,26.4,97.5,28.5,1
Germany,Maximilian Mittelstädt,Antonio Rüdiger,62.666666666666664,34.266666666666666,59.63333333333333,54.06666666666666,3
Germany,Maximilian Mittelstädt,Chris Führich,85.2,21.1,98.0,7.0,1
Germany,Maximilian Mittelstädt,Emre Can,58.133333333333326,18.53333333333333,55.76666666666667,29.8,3
Germany,Maximilian Mittelstädt,Florian Wirtz,75.38000000000001,10.053333333333335,81.30666666666666,14.293333333333333,15
Germany,Maximilian Mittelstädt,Jamal Musiala,78.325,10.799999999999999,82.5,14.683333333333332,24
Germany,Maximilian Mittelstädt,Jonathan Tah,61.8,10.787096774193548,51.24193548387097,22.335483870967742,31
Germany,Maximilian Mittelstädt,Joshua Kimmich,75.1,35.82,83.5,53.1,5
Germany,Maximilian Mittelstädt,Kai Havertz,70.6,12.366666666666667,88.45,34.61666666666667,6
Germany,Maximilian Mittelstädt,Manuel Neuer,39.5375,20.8875,18.1625,40.1125,8
Germany,Maximilian Mittelstädt,Niclas Füllkrug,22.266666666666666,10.933333333333332,52.93333333333334,24.599999999999998,3
Germany,Maximilian Mittelstädt,Pascal Groß,82.78333333333333,15.766666666666666,76.46666666666667,23.25,12
Germany,Maximilian Mittelstädt,Robert Andrich,78.8,12.581818181818182,73.73636363636363,23.0,11
Germany,Maximilian Mittelstädt,Thomas Müller,96.39999999999999,17.7,104.10000000000001,18.466666666666665,3
Germany,Maximilian Mittelstädt,Toni Kroos,65.53666666666666,13.836666666666668,59.49666666666667,19.466666666666665,30
Germany,Maximilian Mittelstädt,Waldemar Anton,37.5,10.700000000000001,24.833333333333332,17.599999999999998,3
Germany,Maximilian Mittelstädt,İlkay Gündoğan,60.510000000000005,9.26,70.68,18.34,10
Germany,Niclas Füllkrug,Benjamin Henrichs,25.3,42.6,51.4,67.0,1
Germany,Niclas Füllkrug,Chris Führich,93.7,40.4,89.5,39.5,1
Germany,Niclas Füllkrug,David Raum,94.85,18.35,93.45,8.6,2
Germany,Niclas Füllkrug,Emre Can,78.4,18.85,67.9,27.55,2
Germany,Niclas Füllkrug,Florian Wirtz,73.75,36.5,89.9,40.85,2
Germany,Niclas Füllkrug,Jamal Musiala,91.71666666666665,37.300000000000004,91.75,32.233333333333334,6
Germany,Niclas Füllkrug,Joshua Kimmich,77.7,54.95,69.25,61.45,2
Germany,Niclas Füllkrug,Kai Havertz,97.43333333333334,45.800000000000004,102.0,38.86666666666667,3
Germany,Niclas Füllkrug,Leroy Sané,73.55,62.400000000000006,77.15,64.75,2
Germany,Niclas Füllkrug,Maximilian Mittelstädt,60.35,21.55,57.35,15.350000000000001,2
Germany,Niclas Füllkrug,Robert Andrich,113.4,45.1,99.8,43.6,1
Germany,Niclas Füllkrug,Thomas Müller,114.5,21.8,108.3,22.6,1
Germany,Niclas Füllkrug,Toni Kroos,69.46666666666667,35.5,65.33333333333333,38.4,3
Germany,Niclas Füllkrug,İlkay Gündoğan,59.3,29.85,52.25,29.3,2
Germany,Nico Schlotterbeck,Antonio Rüdiger,55.629999999999995,35.239999999999995,53.44,55.58,10
Germany,Nico Schlotterbeck,Benjamin Henrichs,43.2,30.2,57.9,7.2,1
Germany,Nico Schlotterbeck,David Raum,46.43333333333334,28.599999999999998,52.43333333333334,9.85,6
Germany,Nico Schlotterbeck,Florian Wirtz,22.0,38.699999999999996,38.699999999999996,37.43333333333333,3
Germany,Nico Schlotterbeck,Jamal Musiala,48.95,24.9625,79.825,20.875,8
Germany,Nico Schlotterbeck,Joshua Kimmich,47.14,39.3,56.1,68.12,5
Germany,Nico Schlotterbeck,Kai Havertz,48.63333333333333,23.166666666666668,66.53333333333335,35.5,3
Germany,Nico Schlotterbeck,Manuel Neuer,31.75,18.75,12.425,37.8,4
Germany,Nico Schlotterbeck,Robert Andrich,51.1,33.81818181818182,55.33636363636364,40.28181818181818,11
Germany,Nico Schlotterbeck,Toni Kroos,58.58235294117647,26.95294117647059,60.870588235294115,25.71764705882353,17
Germany,Nico Schlotterbeck,İlkay Gündoğan,55.357142857142854,38.15714285714286,66.82857142857144,44.871428571428574,7
Germany,Pascal Groß,Antonio Rüdiger,66.85,34.53,64.06,50.61,10
Germany,Pascal Groß,Florian Wirtz,71.5,36.1,76.3,22.6,1
Germany,Pascal Groß,Jamal Musiala,70.3,49.825,82.05,52.0,4
Germany,Pascal Groß,Jonathan Tah,75.01,34.209999999999994,67.03,34.47,10
Germany,Pascal Groß,Joshua Kimmich,76.28333333333333,49.71666666666667,88.81666666666666,69.43333333333334,6
Germany,Pascal Groß,Leroy Sané,83.16666666666667,28.066666666666663,89.86666666666667,47.666666666666664,3
Germany,Pascal Groß,Manuel Neuer,49.3,58.8,23.3,44.9,1
Germany,Pascal Groß,Maximilian Mittelstädt,70.48461538461538,31.307692307692307,81.4,15.423076923076923,13
Germany,Pascal Groß,Thomas Müller,78.975,27.700000000000003,87.875,13.424999999999999,4
Germany,Pascal Groß,Toni Kroos,70.53333333333333,34.46666666666667,67.96666666666667,31.166666666666668,12
Germany,Pascal Groß,İlkay Gündoğan,78.1,41.4,77.1,18.7,1
Germany,Robert Andrich,Antonio Rüdiger,57.532,48.732,50.464,59.403999999999996,25
Germany,Robert Andrich,David Raum,71.32000000000001,30.5,79.14,7.539999999999999,5
Germany,Robert Andrich,Florian Wirtz,61.45,45.42272727272727,73.21363636363637,48.0,22
Germany,Robert Andrich,Jamal Musiala,66.66999999999999,40.07000000000001,76.37,33.230000000000004,10
Germany,Robert Andrich,Jonathan Tah,62.57058823529412,42.36470588235294,56.85294117647059,36.84117647058823,17
Germany,Robert Andrich,Joshua Kimmich,61.645,48.845,68.9,66.795,20
Germany,Robert Andrich,Kai Havertz,59.16363636363636,49.43636363636363,76.94545454545454,52.527272727272724,11
Germany,Robert Andrich,Leroy Sané,50.866666666666674,59.833333333333336,63.6,68.43333333333334,3
Germany,Robert Andrich,Manuel Neuer,35.7,29.55,11.0,38.35,2
Germany,Robert Andrich,Maximilian Mittelstädt,67.27000000000001,40.019999999999996,74.97999999999999,13.969999999999999,10
Germany,Robert Andrich,Niclas Füllkrug,58.825,42.4,80.225,44.05,4
Germany,Robert Andrich,Nico Schlotterbeck,67.38181818181819,42.77272727272727,60.063636363636355,32.92727272727273,11
Germany,Robert Andrich,Toni Kroos,62.17758620689656,38.61724137931035,60.074137931034485,36.77241379310345,58
Germany,Robert Andrich,Waldemar Anton,20.1,39.0,16.1,21.6,1
Germany,Robert Andrich,İlkay Gündoğan,76.78888888888889,45.15555555555555,86.12222222222222,45.63333333333333,9
Germany,Thomas Müller,Antonio Rüdiger,93.7,74.1,79.0,68.0,1
Germany,Thomas Müller,Emre Can,109.3,28.5,96.5,36.6,1
Germany,Thomas Müller,Florian Wirtz,52.05,50.5,51.3,53.849999999999994,2
Germany,Thomas Müller,Jonathan Tah,71.3,3.2,55.6,28.4,1
Germany,Thomas Müller,Maximilian Mittelstädt,91.0,5.0,84.3,4.1,2
Germany,Thomas Müller,Niclas Füllkrug,99.3,63.75,107.85,38.599999999999994,2
Germany,Thomas Müller,Pascal Groß,101.06666666666666,17.966666666666665,94.23333333333333,21.833333333333332,3
Germany,Thomas Müller,Robert Andrich,106.6,25.8,98.1,28.9,1
Germany,Thomas Müller,Toni Kroos,93.2,13.450000000000001,84.5,17.799999999999997,2
Germany,Thomas Müller,Waldemar Anton,34.6,73.0,33.6,50.3,1
Germany,Thomas Müller,İlkay Gündoğan,23.4,29.9,34.9,36.7,1
Germany,Toni Kroos,Antonio Rüdiger,58.54545454545455,37.95454545454545,55.527272727272724,57.03272727272728,55
Germany,Toni Kroos,Chris Führich,54.52,27.04,66.94,18.84,5
Germany,Toni Kroos,David Raum,51.81428571428571,26.22142857142857,59.81428571428571,9.785714285714286,14
Germany,Toni Kroos,Emre Can,58.85,33.714285714285715,64.75,38.92857142857143,14
Germany,Toni Kroos,Florian Wirtz,61.26734693877551,35.11632653061225,73.1734693877551,33.826530612244895,49
Germany,Toni Kroos,Jamal Musiala,64.42340425531916,28.527659574468085,74.27234042553192,25.840425531914892,47
Germany,Toni Kroos,Jonathan Tah,60.31515151515151,31.415151515151518,54.68787878787879,33.77272727272727,33
Germany,Toni Kroos,Joshua Kimmich,61.406976744186046,40.63488372093023,70.22325581395349,64.25348837209303,43
Germany,Toni Kroos,Kai Havertz,75.18461538461538,43.84615384615385,87.83076923076922,42.83846153846154,13
Germany,Toni Kroos,Leroy Sané,67.45714285714286,40.214285714285715,82.20714285714287,52.021428571428565,14
Germany,Toni Kroos,Manuel Neuer,25.100000000000005,31.099999999999998,7.666666666666667,36.166666666666664,3
Germany,Toni Kroos,Maximilian Mittelstädt,58.09090909090909,27.593181818181815,68.5840909090909,12.620454545454544,44
Germany,Toni Kroos,Niclas Füllkrug,57.56666666666666,31.8,71.86666666666666,27.900000000000002,3
Germany,Toni Kroos,Nico Schlotterbeck,48.12,21.04,38.989999999999995,24.14,10
Germany,Toni Kroos,Pascal Groß,63.260000000000005,24.27,62.1,30.48,10
Germany,Toni Kroos,Robert Andrich,58.15581395348837,31.976744186046513,61.85116279069767,37.253488372093024,43
Germany,Toni Kroos,Thomas Müller,68.8,37.875,90.725,43.675,4
Germany,Toni Kroos,Waldemar Anton,56.4,23.1,41.9,24.6,1
Germany,Toni Kroos,İlkay Gündoğan,57.084090909090904,36.30681818181818,66.5340909090909,37.04772727272727,44
Germany,Waldemar Anton,Antonio Rüdiger,36.1,26.0,31.5,48.65,2
Germany,Waldemar Anton,Kai Havertz,41.8,38.5,57.5,54.2,1
Germany,Waldemar Anton,Manuel Neuer,16.55,17.8,6.449999999999999,30.15,2
Germany,Waldemar Anton,Maximilian Mittelstädt,32.325,23.5375,41.125,8.675,8
Germany,Waldemar Anton,Toni Kroos,47.725,34.625,53.15,31.525,4
Germany,İlkay Gündoğan,Antonio Rüdiger,75.24444444444445,48.044444444444444,67.17777777777778,61.24444444444445,9
Germany,İlkay Gündoğan,David Raum,64.38888888888889,31.08888888888889,70.66666666666667,12.444444444444445,9
Germany,İlkay Gündoğan,Emre Can,41.9,35.8,45.45,45.95,2
Germany,İlkay Gündoğan,Florian Wirtz,90.25555555555555,40.77777777777778,92.03333333333333,45.52222222222222,9
Germany,İlkay Gündoğan,Jamal Musiala,72.51666666666667,41.85,76.03333333333333,38.26666666666667,12
Germany,İlkay Gündoğan,Jonathan Tah,72.05454545454546,39.36363636363637,64.74545454545455,32.67272727272727,11
Germany,İlkay Gündoğan,Joshua Kimmich,70.97391304347826,50.63478260869565,75.79565217391304,66.42608695652174,23
Germany,İlkay Gündoğan,Kai Havertz,73.9,38.660000000000004,84.24,45.36,10
Germany,İlkay Gündoğan,Leroy Sané,82.2,50.65,92.6625,49.5125,8
Germany,İlkay Gündoğan,Maximilian Beier,76.9,42.8,91.3,25.8,1
Germany,İlkay Gündoğan,Maximilian Mittelstädt,82.22999999999999,32.7,85.09,20.61,10
Germany,İlkay Gündoğan,Nico Schlotterbeck,55.45,37.4,42.7,34.9,2
Germany,İlkay Gündoğan,Pascal Groß,77.55,26.25,80.6,32.8,2
Germany,İlkay Gündoğan,Robert Andrich,75.62,43.97,70.09,44.67,10
Germany,İlkay Gündoğan,Thomas Müller,55.5,23.9,88.7,1.1,1
Germany,İlkay Gündoğan,Toni Kroos,69.90416666666667,29.395833333333332,64.6125,27.329166666666666,24
Netherlands,Bart Verbruggen,Cody Mathès Gakpo,19.380000000000003,39.58,67.12,8.54,5
Netherlands,Bart Verbruggen,Denzel Dumfries,12.9125,48.4125,57.0875,74.8625,8
Netherlands,Bart Verbruggen,Jerdy Schouten,13.53076923076923,43.03076923076923,30.584615384615386,45.315384615384616,13
Netherlands,Bart Verbruggen,Jeremie Frimpong,34.6,45.6,50.1,66.0,1
